"Number","Name","Position","Height","Weight","Class","Hometown"
"2","Coleman Edwards","G","6-2","175","SO","Sugar Land, TX"
"4","Bryson Robinson","G","6-4","202","FR","Mesquite, TX"
"10","A.J. Cheeseman","F","6-6","230","FR","Lawrenceville, GA"
"11","Michael Zeno","G","6-6","230","JR","Beaumont, TX"
"12","Gavin Sabo","F","6-6","230","FR","Baytown, TX"
"13","Jorge Rosa","G","6-3","205","JR","Orlando, FL"
"15","Cameron Reed","G","6-4","190","SO","Louisville, KY"
"22","Makur Puou","F","6-9","228","JR","Rumbek, South Sudan"
"23","Danny Cohen","G","6-2","190","SO","Natchitoches, LA"
"25","Travin Thibodeaux","F","6-9","242","JR","Plaquemine, LA"
"32","Matthew Jiles","G","5-10","165","JR","Braithwaite, LA"
"55","Scott Plaisance","F","6-9","217","SO","New Orleans, LA"
