"Number","Name","Position","Height","Weight","Class","Hometown"
"1","B.J. Taylor","G","6-2","200","SO","Orlando, FL"
"2","Terrell Allen","G","6-2","180","SO","Upper Marlboro, MD"
"3","A.J. Davis","G","6-9","215","JR","Atlanta, GA"
"4","Ceasar DeJesus","G","6-3","190","FR","Baltimore, MD"
"5","Djordjije Mumin","G","6-5","205","JR","Podgorica, Montenegro"
"10","Dayon Griffin","G","6-5","200","JR","Saint Petersburg, FL"
"11","Rokas Ulvydas","F","6-11","235","SO","Kaunas, Lithuania"
"13","Aubrey Dawkins","G","6-6","205","JR","Palo Alto, CA"
"15","Anthony Catotti","G","6-4","200","JR","Oviedo, FL"
"20","Brock Stephenson","G","6-2","175","FR","Miami, FL"
"21","Chad Brown","F","6-9","230","SO","Deltona, FL"
"22","Chance McSpadden","G","6-4","180","SO","Winter Haven, FL"
"24","Tacko Fall","C","7-6","300","SO","Dakar, Senegal"
"25","Tate Morse","G","6-4","165","JR","Orlando, FL"
"51","Nathan Laing","G","6-1","165","JR","Lillington, NC"
"--","Tank Efianayi","NA","--","--","--","--"
