"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Nourse Fox","G","6-1","195","JR","Memphis, TN"
"1","Tom Lacey","F","6-7","235","JR","Glen Ridge, NJ"
"2","Hasan Abdullah","G","6-0","195","SO","Trussville, AL"
"3","Matt Cullen","G","6-1","175","FR","Latrobe, PA"
"5","Ryan Pearson","G","6-2","185","SO","Richmond, VA"
"14","Bryce Dulin","G","6-4","200","JR","Nixa, MO"
"15","Dominick Antonelli","G","6-1","190","SO","Mechanicsburg, PA"
"20","Shawn Anderson","G","6-4","220","JR","New Castle, PA"
"21","George Kiernan","F","6-7","225","SO","Hinsdale, IL"
"23","Mo Lewis","F","6-6","220","SO","Alpharetta, GA"
"30","Kyran McClure","G","6-1","160","FR","Concord, NC"
"31","Drew Trimble","F","6-7","185","FR","Lexington, KY"
"35","Aaron Briggs","G","6-0","190","SO","Largo, MD"
"41","Connor Mannion","F","6-7","215","FR","Suwanee, GA"
"42","James Butler","F","6-8","230","FR","Fairfax, VA"
"45","Taj Middleton","G","6-2","185","FR","Charlotte, NC"
"54","Evan Wieck","C","6-8","220","FR","Amarillo, TX"
"55","Oliver Smith","C","6-10","200","FR","Excelsior, MN"
