"Number","Name","Position","Height","Weight","Class","Hometown"
"1","JoJo Zamora","G","6-2","170","JR","Oakland, CA"
"2","Sedrick Barefield","G","6-2","190","SO","Corona, CA"
"3","Devon Daniels","G","6-5","190","FR","Battle Creek, MI"
"5","Parker Van Dyke","G","6-3","185","SO","Salt Lake City, UT"
"10","Jake Connor","G","6-3","181","SO","Salt Lake City, UT"
"11","Chris Seeley","F","6-8","215","FR","FRESNO, CA"
"13","David Collette","F","6-8","220","JR","Murray, UT"
"20","Beau Rydalch","G","6-6","205","FR","Oakley, UT"
"21","Tyler Rawson","F","6-10","225","JR","American Fork, UT"
"34","Jayce Johnson","F","7-1","235","FR","Mission Viejo, CA"
"40","Marc Reininger","F","6-9","220","FR","Monument, CO"
"43","Jakub Jokl","F","6-11","230","FR","Havl.-brod, Czech Republic"
