"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Jordan Cornish","G","6-6","220","JR","New Orleans, LA"
"2","Jackson Johnson","G","5-10","170","SO","Ponte Vedra Beach, FL"
"3","Ray Ona Embo","G","6-5","185","FR","Paris, France"
"4","Riley Conroy","G","5-11","175","SO","New Orleans, LA"
"5","Cameron Reynolds","G","6-7","215","JR","Pearland, TX"
"12","Sammis Reyes","F","6-7","240","SO","Santiago, Chile"
"14","Colin Slater","G","6-1","185","FR","New Orleans, LA"
"21","Samir Sehic","F","6-9","240","SO","Cypress, TX"
"23","Blake Paul","F","6-9","230","SO","New Orleans, LA"
"30","Bernard Woodside","G","6-1","185","SO","Tampa, FL"
"35","Melvin Frazier","G","6-5","200","SO","Avondale, LA"
