"Number","Name","Position","Height","Weight","Class","Hometown"
"1","Kris Martin","G","6-6","186","SO","Frisco, TX"
"3","Jontray Harris","G","6-4","180","SO","Austin, TX"
"20","Spencer Sutton","G","6-4","215","FR","Tulsa, OK"
"23","Emmanuel Nzekwesi","F","6-8","230","FR","Trophy Club, TX"
"25","Javan White","F","6-10","230","SO","Ames, IA"
"30","Dezmond McDaniel","G","5-11","173","FR","Kansas City, MO"
"32","Kellen Manek","F","6-7","227","FR","Harrah, OK"
"33","Darian Harris","G","6-6","198","JR","Springdale, AR"
"35","R.J. Smith","G","6-5","215","FR","Olathe, KS"
"44","Albert Owens","C","6-9","262","JR","Cedar Hill, TX"
"52","Chris Miller","F","6-8","261","FR","Tulsa, OK"
