"Number","Name","Position","Height","Weight","Class","Hometown"
"1","Tim Bond","G","6-7","160","JR","Baltimore, MD"
"2","James Thompson IV","F","6-10","215","SO","Baton Rouge, LA"
"3","Paul Jackson","G","6-1","175","JR","Stone Mountain, GA"
"4","Terry Harris","G","6-6","215","JR","Dix Hills, NY"
"5","Elijah Minnie","F","6-9","200","JR","Monessen, PA"
"12","Jalen Brown","G","5-9","160","FR","Harper Woods, MI"
"15","Jordan Nobles","F","6-9","195","SO","Canton, MI"
"20","Blake Brown","F","6-7","175","SO","Novi, MI"
"21","Quaran Jones","F","6-7","225","JR","Fargo, ND"
"23","Lamar Wofford-Humphrey","F","6-9","225","JR","Flossmoor, IL"
"35","Nick Madray","F","6-9","220","JR","Mississauga, ON"
"40","Baylee Steele","F","6-11","235","SO","Norwalk, IA"
"55","Lamonta Stone","F","--","--","--","--"
