"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Aaron Young","G","6-0","180","JR","Falls Church, VA"
"1","Vittorio Reynoso-Avila","F","6-5","200","FR","La Mirada, CA"
"2","Jose Morales","G","5-9","165","FR","Miramar, FL"
"3","Devin Cannady","G","6-1","185","SO","Mishawaka, IN"
"4","Mike LeBlanc","F","6-6","195","JR","Dover, NH"
"5","Amir Bell","G","6-4","190","JR","East Brunswick, NJ"
"11","Elias Berbari","G","6-2","180","SO","Greenlawn, NY"
"12","Myles Stephens","G","6-5","205","SO","Lawrenceville, NJ"
"13","Will Gladson","F","6-10","255","FR","Chesterfield, MO"
"30","Hans Brase","F","6-9","235","--","Clover, SC"
"32","Jackson Forbes","F","6-6","220","JR","Plano, TX"
"34","Richmond Aririguzoh","C","6-9","220","FR","Ewing, NJ"
"35","Alec Brennan","F","6-11","230","JR","Weston, MA"
"44","Noah Bramlage","F","6-9","220","SO","Glandorf, OH"
