"Number","Name","Position","Height","Weight","Class","Hometown"
"2","Christopher Thomas","G","6-7","180","SR","Alabaster, AL"
"3","De'Ederick Petty","G","5-10","165","FR","Bessemer, AL"
"4","Ariston Johnson","F","6-1","175","FR","Alexandria, VA"
"10","Rakiya Battle","G","5-11","170","SR","Madison, AL"
"11","Matthew Cotton","G","5-10","185","SR","Atlanta, GA"
"12","Marcus Merriweather","G","6-1","185","SR","Pinson, AL"
"20","L'Quan Wiltshire","G","5-10","175","JR","Atlanta, GA"
"22","Eugene Jones Jr.","F","6-6","220","SO","Peoria Heights, IL"
"24","Evan Wiley","F","6-6","190","FR","Huntsville, AL"
"30","Adrian Edwards","F","6-4","195","SR","Meridian, MS"
"35","Tracey Burnett","F","6-5","230","JR","Huntsville, AL"
"40","Kimium Woods","G","5-8","160","JR","Columbus, GA"
"41","Reginald Miller","G","6-4","175","FR","Montgomery, AL"
"42","Quinterian McConico","C","6-8","235","SR","Birmingham, AL"
"44","Mohamed Sherif","F","6-8","225","SO","Philadelphia, PA"
"45","Carlton Speight","G","6-4","195","JR","Memphis, TN"
